"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","ICE","BELEN-ALAJUELA","1","4.22","2.75","","","","","","","","16166"
"2022","Diciembre ","ICE","BELEN-ALAJUELA","3","2.2199999999999998","1.18","","","","","","","","16166"
"2022","Diciembre ","ICE","GARITA-PURISCAL","3","2.2800000000000002","1.63","","","","","1","","1","6266"
"2022","Diciembre ","ICE","GARITA-PURISCAL","2","3.8","2.25","","","","","1","","1","6266"
"2022","Diciembre ","ICE","GARITA-PURISCAL","1","4.9799999999999995","3.25","","","1","1","1","1.18","3","6266"
"2022","Diciembre ","ICE","GARITA-PARRITA","3","6.929999999999999","4.39","","","","2","1","3.79","3","526"
"2022","Diciembre ","ICE","GARITA-PARRITA","2","24.870000000000005","12.100000000000001","","","","4","1","4.79","5","526"
"2022","Diciembre ","ICE","GARITA-PARRITA","1","26.050000000000004","13.100000000000001","","","1","5","1","4.97","7","526"
"2022","Diciembre ","ICE","GARITA-PALMARES","3","1.41","0.76","","","","","1","","1","8666"
"2022","Diciembre ","ICE","GARITA-PALMARES","2","5.6499999999999995","2.97","","","","","1","","1","8666"
"2022","Diciembre ","ICE","GARITA-PALMARES","1","6.63","3.97","","","2","1","1","0.93","4","8666"
"2022","Diciembre ","ICE","GARITA-JUNQUILLO","3","3.72","0.9800000000000001","","","","","1","","1","5310"
"2022","Diciembre ","ICE","GARITA-JUNQUILLO","2","10.5","5.46","","","","1","1","0.2","2","5310"
"2022","Diciembre ","ICE","GARITA-JUNQUILLO","1","11.720000000000002","6.46","","","1","2","1","1.42","4","5310"
"2022","Diciembre ","ICE","GARITA-CIRUELAS","3","6.870000000000001","2.06","","","","","1","","1","2168"
"2022","Diciembre ","ICE","GARITA-CIRUELAS","2","7.550000000000001","2.27","","","","","1","","1","2168"
"2022","Diciembre ","ICE","GARITA-CIRUELAS","1","8.780000000000001","3.78","","","2","1","1","1.17","4","2168"
"2022","Diciembre ","ICE","GARITA-CEBADILLA","3","0.92","0.8","","","","","","","","1601"
"2022","Diciembre ","ICE","GARITA-CEBADILLA","2","3.1199999999999997","2.44","","","","","","","","1601"
"2022","Diciembre ","ICE","GARITA-CEBADILLA","1","3.6199999999999997","2.77","","","1","","","","1","1601"
"2022","Diciembre ","ICE","GARITA-ATENAS","3","4.21","2.74","","","","1","1","3","2","483"
"2022","Diciembre ","ICE","GARITA-ATENAS","2","10.950000000000001","6.07","","","","1","1","3.4","2","483"
"2022","Diciembre ","ICE","GARITA-ATENAS","1","12.63","8.08","","","1","3","1","5.15","5","483"
"2022","Diciembre ","ICE","EL ESTE-VICESA","3","0.07","0.01","","","","","1","","1","134"
"2022","Diciembre ","ICE","EL ESTE-VICESA","2","0.07","0.01","","","","","1","","1","134"
"2022","Diciembre ","ICE","EL ESTE-VICESA","1","0.07","0.01","","","","","1","","1","134"
"2022","Diciembre ","ICE","CONCAVAS-TRES RIOS","3","0.02","0.17","","","","","","","","6"
"2022","Diciembre ","ICE","CONCAVAS-TRES RIOS","2","0.38","0.33","","","","","","","","6"
"2022","Diciembre ","ICE","CONCAVAS-TRES RIOS","1","0.38","0.33","","","","","","","","6"
"2022","Diciembre ","ICE","JUANILAMA-INDUSTRIAS","1","1.84","0.8","","","3","","1","","4","532"
"2022","Diciembre ","ICE","CONCAVAS-RIO MACHO","3","0.43","0.46","","","","","","","","168"
"2022","Diciembre ","ICE","JUANILAMA-INDUSTRIAS","2","1.84","0.8","","","","","1","","1","532"
"2022","Diciembre ","ICE","JUANILAMA-HERRADURA","1","6.200000000000001","4.11","","","","","","","","2778"
"2022","Diciembre ","ICE","LIBERIA-CONDOVAC","1","4.969999999999999","1.34","","","1","","","","1","234"
"2022","Diciembre ","ICE","LIBERIA-BAGACES","3","5.2299999999999995","3.53","","","","","","","","9746"
"2022","Diciembre ","ICE","LIBERIA-BAGACES","2","10.14","7.06","","","","","","","","9746"
"2022","Diciembre ","ICE","LIBERIA-BAGACES","1","10.14","7.06","","","1","","","","1","9746"
"2022","Diciembre ","ICE","LEESVILLE-RIO FRIO","3","1.3300000000000003","0.9600000000000001","","","","","","","","21394"
"2022","Diciembre ","ICE","LEESVILLE-RIO FRIO","2","3.2900000000000005","2.71","","","","","","","","21394"
"2022","Diciembre ","ICE","LEESVILLE-RIO FRIO","1","3.2900000000000005","2.71","","","","","","","","21394"
"2022","Diciembre ","ICE","LEESVILLE-PIÑERAS","3","2.9099999999999997","2.1","","","","","1","","1","7361"
"2022","Diciembre ","ICE","LEESVILLE-PIÑERAS","2","8.66","5.61","","","","","1","","1","7361"
"2022","Diciembre ","ICE","LEESVILLE-PIÑERAS","1","8.66","5.61","","","6","","1","","7","7361"
"2022","Diciembre ","ICE","LESVILLE - ARCELOR","3","1.82","1","","","","1","","1.82","1","1"
"2022","Diciembre ","ICE","LESVILLE - ARCELOR","2","1.82","1","","","","1","","1.82","1","1"
"2022","Diciembre ","ICE","LESVILLE - ARCELOR","1","1.82","1","","","","1","","1.82","1","1"
"2022","Diciembre ","ICE","LEESVILLE-GUAPILES","3","1.2100000000000002","2.45","","","","","","","","15253"
"2022","Diciembre ","ICE","LEESVILLE-GUAPILES","2","3.01","4.1","","","","1","","0.56","1","15253"
"2022","Diciembre ","ICE","LEESVILLE-GUAPILES","1","3.01","4.1","","","","1","","0.56","1","15253"
"2022","Diciembre ","ICE","LEESVILLE-GUACIMO","3","2.1199999999999997","2.1","","","","","","","","12996"
"2022","Diciembre ","ICE","LEESVILLE-GUACIMO","2","4.960000000000001","3.7399999999999998","","","","","","","","12996"
"2022","Diciembre ","ICE","LEESVILLE-GUACIMO","1","4.960000000000001","3.7399999999999998","","","","","","","","12996"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","3","3.0700000000000003","1.73","","","","","","","","18761"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","2","5.460000000000001","2.94","","","","","","","","18761"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","1","5.460000000000001","2.94","","","","","","","","18761"
"2022","Diciembre ","ICE","JUANILAMA-JACO","3","0.36000000000000004","1.12","","","","1","","0.1","1","4096"
"2022","Diciembre ","ICE","JUANILAMA-JACO","2","10.540000000000001","8.339999999999998","","","","3","","0.30000000000000004","3","4096"
"2022","Diciembre ","ICE","JUANILAMA-JACO","1","10.540000000000001","8.339999999999998","","","","3","","0.30000000000000004","3","4096"
"2022","Diciembre ","ICE","JUANILAMA-HERRADURA","3","0.65","0.9400000000000001","","","","","","","","2778"
